# Tue Oct 28 14:34:01 EDT 2008
# c0.cs.unh.edu 2.6.26.3-29.fc9.x86_64 x86_64 GNU/Linux
# Board: grid/jordan_unit_four-way_1200x2000_2
# Average over 5 runs
# time (sec)      threads         weight          nblocks/thread 
  2.7860          5               1.30            7              
  3.0720          5               1.30            8              
  3.4120          5               1.30            9              
  2.9460          5               1.40            1              
  2.0260          5               1.40            2              
  2.0200          5               1.40            3              
  1.9660          5               1.40            4              
  2.1920          5               1.40            5              
  2.4120          5               1.40            6              
  2.6560          5               1.40            7              
  2.9980          5               1.40            8              
  3.4120          5               1.40            9              
  3.1960          5               1.50            1              
  2.1500          5               1.50            2              
  2.1440          5               1.50            3              
  2.0860          5               1.50            4              
  2.1260          5               1.50            5              
  2.5080          5               1.50            6              
  2.7540          5               1.50            7              
  3.0540          5               1.50            8              
  3.4400          5               1.50            9              
  2.2580          6               1.10            1              
  1.9920          6               1.10            2              
  1.9760          6               1.10            3              
  2.2180          6               1.10            4              
  2.5180          6               1.10            5              
  2.7660          6               1.10            6              
  3.1660          6               1.10            7              
  3.5120          6               1.10            8              
  3.8160          6               1.10            9              
  2.3800          6               1.20            1              
  2.1160          6               1.20            2              
  2.0120          6               1.20            3              
  2.1580          6               1.20            4              
  2.4560          6               1.20            5              
  2.8920          6               1.20            6              
  3.1620          6               1.20            7              
  3.6020          6               1.20            8              
  3.8620          6               1.20            9              
  2.4120          6               1.30            1              
  2.0740          6               1.30            2              
  2.0580          6               1.30            3              
  2.1220          6               1.30            4              
  2.4540          6               1.30            5              
  2.8320          6               1.30            6              
  3.1720          6               1.30            7              
  3.5640          6               1.30            8              
  3.9340          6               1.30            9              
  2.5040          6               1.40            1              
  2.1980          6               1.40            2              
  2.0120          6               1.40            3              
  2.0780          6               1.40            4              
  2.4720          6               1.40            5              
  2.8620          6               1.40            6              
  3.1980          6               1.40            7              
  3.6020          6               1.40            8              
  3.9160          6               1.40            9              
  2.5540          6               1.50            1              
  2.2520          6               1.50            2              
  2.0820          6               1.50            3              
  2.1980          6               1.50            4              
  2.4180          6               1.50            5              
  2.8100          6               1.50            6              
  3.2460          6               1.50            7              
  3.6780          6               1.50            8              
  4.0080          6               1.50            9              
  2.0960          7               1.10            1              
  2.1100          7               1.10            2              
  2.2800          7               1.10            3              
  2.4920          7               1.10            4              
  2.9020          7               1.10            5              
  3.2400          7               1.10            6              
  3.6040          7               1.10            7              
  3.9320          7               1.10            8              
  4.1940          7               1.10            9              
  2.2400          7               1.20            1              
  2.1640          7               1.20            2              
  2.2300          7               1.20            3              
  2.4620          7               1.20            4              
  2.8800          7               1.20            5              
  3.2660          7               1.20            6              
  3.6660          7               1.20            7              
  4.0320          7               1.20            8              
